ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767914340.728791,Cej93O3zOeDdT3st83,192.168.1.39,59774,8.8.8.8,53,udp,dns,0.039041,40,68,SF,T,F,0,Dd,1,68,1,96,,17
1767914340.728824,CTZwbf3aOCTusrR6Df,192.168.1.39,60128,8.8.8.8,53,udp,dns,0.038887,40,56,SF,T,F,0,Dd,1,68,1,84,,17
1767914340.871901,Cs4l5o3BdWtr86RAJl,192.168.1.39,37595,8.8.8.8,53,udp,dns,0.035524,40,68,SF,T,F,0,Dd,1,68,1,96,,17
1767914340.873043,CNYjm53E9heocKKzhd,192.168.1.39,55957,8.8.8.8,53,udp,dns,0.031857,40,56,SF,T,F,0,Dd,1,68,1,84,,17
1767914345.090392,CTqVdub29aOXXzfC8,192.168.1.39,47292,8.8.8.8,53,udp,dns,0.035197,48,64,SF,T,F,0,Dd,1,76,1,92,,17
1767914345.090408,CUKIJv1QtU80hnLLd8,192.168.1.39,57562,8.8.8.8,53,udp,dns,0.032971,48,76,SF,T,F,0,Dd,1,76,1,104,,17
1767914345.273545,CdpX6C18RvCtOQqrae,192.168.1.39,54171,8.8.8.8,53,udp,dns,0.033740,43,43,SF,T,F,0,Dd,1,71,1,71,,17
1767914345.307580,CGyBRA25T6HxOMChw4,192.168.1.39,58597,8.8.8.8,53,udp,dns,0.033651,41,41,SF,T,F,0,Dd,1,69,1,69,,17
1767914345.341503,C6LrY3enCLU136TJa,192.168.1.39,34106,8.8.8.8,53,udp,dns,0.030732,41,41,SF,T,F,0,Dd,1,69,1,69,,17
1767914345.372539,CAfBxfDsHNcTjWHkg,192.168.1.39,42941,8.8.8.8,53,udp,dns,0.037190,41,41,SF,T,F,0,Dd,1,69,1,69,,17
1767914345.409996,Ch1fH8T2KfTHYLxTk,192.168.1.39,35172,8.8.8.8,53,udp,dns,0.033345,90,178,SF,T,F,0,Dd,1,118,1,206,,17
1767914345.443649,C0oVI82podRWHp6k6l,192.168.1.39,49186,8.8.8.8,53,udp,dns,0.035446,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914345.479446,CmbCRy3bipwsdHIJae,192.168.1.39,34200,8.8.8.8,53,udp,dns,0.034037,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914345.513804,Cb1abt30JaCcuyCXge,192.168.1.39,37555,8.8.8.8,53,udp,dns,0.032312,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914345.546381,CjVpap3dzb4RVGt289,192.168.1.39,53773,8.8.8.8,53,udp,dns,0.032406,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914345.579075,C7IPPi4A9mAdbUgqvi,192.168.1.39,33871,8.8.8.8,53,udp,dns,0.034340,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914345.613779,CLRcpykNLJLVx6x27,192.168.1.39,52193,8.8.8.8,53,udp,dns,0.034503,90,154,SF,T,F,0,Dd,1,118,1,182,,17
1767914351.217193,CAy854ajRdfCCm859,192.168.1.40,44630,192.168.1.39,22,tcp,,0.058601,0,33,SF,T,T,0,ShAFadfRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR,227,9148,4,249,,6
1767914352.244714,ChRMBw4l8Lo3dtX3i7,192.168.1.40,52662,192.168.1.39,80,tcp,,0.000094,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767914353.261653,CAWbIk2IR3MTpRpbHe,192.168.1.40,60920,192.168.1.39,443,tcp,,0.000096,0,0,REJ,T,T,0,Sr,1,60,1,40,,6
1767914340.804467,Cp2R8rYLhAbygdMmi,192.168.1.39,8384,192.168.1.41,51282,tcp,,32.866208,3669,793,SF,T,T,0,AaDdFf,8,4084,7,1157,,6
1767914355.416024,COM6jG2tC0wIOi7rQ1,192.168.1.41,36556,192.168.1.39,8384,tcp,http,18.254967,796,929,SF,T,T,0,ShADadfF,6,1116,5,1197,,6
1767914355.416070,Cl8va92CEZ6xyHK4nf,192.168.1.41,36570,192.168.1.39,8384,tcp,http,18.254975,798,1351,SF,T,T,0,ShADadfF,6,1118,5,1619,,6
1767914355.416093,CE0y2S1yOtUFPo3foa,192.168.1.41,36572,192.168.1.39,8384,tcp,http,18.254995,792,454,SF,T,T,0,ShADadfF,6,1112,5,722,,6
1767914369.517950,CKFe604KyYbYGgkOAh,192.168.1.39,51134,8.8.8.8,53,udp,dns,0.040643,36,103,SF,T,F,0,Dd,1,64,1,131,,17
